province,city_level,place,place_cln,date_start,date_end,sah_original,sah_standard,source,notes,et_manual
Guangxi,prefecture,Nanning,Nanning,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guangxi,district,"Yuzhou, Yulin","Yuzhou, Yulin",2020-02-02,2020-02-09,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guizhou,prefecture,Guiyang,Guiyang,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Guizhou,prefecture,Guiyang,Guiyang,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Guizhou,prefecture,Zunyi,Zunyi,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hainan,prefecture,Haikou,Haikou,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Hainan,prefecture,Haikou,Haikou,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hainan,prefecture,Sanya,Sanya,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Hainan,prefecture,Sanya,Sanya,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hebei,prefecture,Shijiazhuang,Shijiazhuang,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Hebei,prefecture,Shijiazhuang,Shijiazhuang,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hebei,prefecture,Tangshan,Tangshan,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Hebei,prefecture,Tangshan,Tangshan,2020-02-07,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hebei,prefecture,Tangshan,Tangshan,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Heilongjiang,prefecture,Haerbin,Harbin,2020-02-04,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Heilongjiang,prefecture,Harbin,Harbin,2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Heilongjiang,prefecture,Harbin,Harbin,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Heilongjiang,district,Suifenhe,Suifenhe,2020-04-08,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,One person per household every three days,TRUE
Heilongjiang,district,Suifenhe,Suifenhe,2020-04-08,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Henan,district,Jia,Jia,2020-03-31,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Henan,district,"Yicheng, Zhumadian","Yicheng, Zhumadian",2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,One person per household every five days,TRUE
Henan,prefecture,Zhengzhou,Zhengzhou,2020-02-04,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Henan,prefecture,Zhengzhou,Zhengzhou,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Henan,prefecture,Zhumadian,Zhumadian,2020-02-04,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Henan,prefecture,Zhumadian,Zhumadian,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Enshi,Enshi,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Enshi,Enshi,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Enshitujiazumiaozu,Enshitujiazumiaozu,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Ezhou,Ezhou,2020-01-23,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Ezhou,Ezhou,2020-01-23,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Ezhou,Ezhou,2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Huanggang,Huanggang,2020-01-23,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Huanggang,Huanggang,2020-01-23,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Huanggang,Huanggang,2020-02-01,2020-03-22,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Huangshi,Huangshi,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Huangshi,Huangshi,2020-01-24,2020-03-13,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,province,,,2020-02-16,2020-04-08,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,province,,,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Jingmen,Jingmen,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Jingmen,Jingmen,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Jingzhou,Jingzhou,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Jingzhou,Jingzhou,2020-01-24,2020-03-17,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Qianjiang,Qianjiang,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,district,Qianjiang,Qianjiang,2020-01-24,2020-03-13,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,district,Shennongjia,Shennongjia,2020-01-27,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Shiyan,Shiyan,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Shiyan,Shiyan,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Suizhou,Suizhou,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Suizhou,Suizhou,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Tianmen,Tianmen,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,district,Tianmen,Tianmen,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Wuhan,Wuhan,2020-01-23,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,district,Wuhan,Wuhan,2020-01-23,2020-04-08,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Xiangyang,Xiangyang,2020-01-28,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Xiangyang,Xiangyang,2020-01-28,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Xianning,Xianning,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Xianning,Xianning,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Xiantao,Xiantao,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,district,Xiantao,Xiantao,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Xiaogan,Xiaogan,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Xiaogan,Xiaogan,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Hubei,prefecture,Yichang,Yichang,2020-01-24,,complete shutdown,complete shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Hubei,prefecture,Yichang,Yichang,2020-01-24,2020-03-25,complete shutdown,complete shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,district,Buning,Buning,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Changzhou,Changzhou,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,district,"Hailing, Taizhou","Hailing, Taizhou",2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Huai'an,Huaian,2020-02-03,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Huaian,Huaian,2020-02-03,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,district,Jiangyan,Jiangyan,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,district,Jiangyin,Jiangyin,2020-02-03,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Lianyungang,Lianyungang,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Lianyungang,Lianyungang,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Nanjing,Nanjing,2020-02-04,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Nanjing,Nanjing,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Nantong,Nantong,2020-02-04,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Nantong,Nantong,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Suqian,Suqian,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Suqian,Suqian,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Suzhou,Suzhou,2020-02-06,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Suzhou,Suzhou,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Taizhou,Taizhou,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Taizhou,Taizhou,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Wuxi,Wuxi,2020-02-09,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Wuxi,Wuxi,2020-02-09,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Xuzhou,Xuzhou,2020-02-04,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Xuzhou,Xuzhou,2020-02-04,2020-02-08,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Xuzhou,Xuzhou,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Yangzhou,Yangzhou,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Yangzhou,Yangzhou,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangsu,prefecture,Zhenjiang,Zhenjiang,2020-02-04,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangsu,prefecture,Zhenjiang,Zhenjiang,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangxi,province,,,2020-02-06,2020-03-31,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangxi,province,,,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangxi,prefecture,Jingdezhen,Jingdezhen,2020-02-04,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangxi,prefecture,Jingdezhen,Jingdezhen,2020-02-04,2020-03-31,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangxi,prefecture,Jingdezhen,Jingdezhen,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jiangxi,prefecture,Nanchang,Nanchang,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Jiangxi,prefecture,Nanchang,Nanchang,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jilin,prefecture,Jilin,Jilin,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Jilin,district,"Kuancheng, Changchun","Kuancheng, Changchun",2020-02-06,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Liaoning,prefecture,Benxi,Benxi,2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Liaoning,prefecture,Jinzhou,Jinzhou,2020-02-06,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Liaoning,province,,,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Nei Mongol,prefecture,Alashan,Alashan,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Baotou,Baotou,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Bayannaoer,Bayannaoer,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Chifeng,Chifeng,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Ereduosi,Ereduosi,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Huhehaote,Huhehaote,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Hulunbeier,Hulunbeier,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,province,,,2020-02-12,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Nei Mongol,prefecture,Tongliao,Tongliao,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Wuhai,Wuhai,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Wulanchabu,Wulanchabu,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Xilinguole,Xilinguole,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Nei Mongol,prefecture,Xingan,Xingan,2020-02-12,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Ningxia Hui,prefecture,Wuzhong,Wuzhong,2020-01-31,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Ningxia Hui,prefecture,Yinchuan,Yinchuan,2020-01-31,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,prefecture,Hanzhong,Hanzhong,2020-02-09,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Shaanxi,district,"Chang'an, Xi'an","Chang'an, Xi'an",2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,prefecture,Hanzhong,Hanzhong,2020-02-09,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,district,"Huyi, Xi'an","Huyi, Xi'an",2020-02-03,2020-02-09,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,One person per household every day,TRUE
Shaanxi,district,"Lianhu, Xi'an","Lianhu, Xi'an",2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,prefecture,Xianyang,Xianyang,2020-02-06,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,district,"Xincheng, Xi'an","Xincheng, Xi'an",2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,district,"Yanta, Xi'an","Yanta, Xi'an",2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shaanxi,district,"Zhouzhi, Xi'an","Zhouzhi, Xi'an",2020-02-02,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,One person per household every day,TRUE
