province,city_level,place,place_cln,date_start,date_end,sah_original,sah_standard,source,notes,et_manual
Shandong,district,"Bincheng, Binzhou","Bincheng, Binzhou",2020-02-03,2020-02-09,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shandong,prefecture,Jinan,Jinan,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shandong,prefecture,Linyi,Linyi,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shandong,prefecture,Qingdao,Qingdao,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shandong,prefecture,Rizhao,Rizhao,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shandong,prefecture,Tai'an,Tai'an,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Shandong,prefecture,Jinan,Jinan,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Shandong,prefecture,Linyi,Linyi,2020-02-04,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Shandong,prefecture,Qingdao,Qingdao,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Shandong,prefecture,Taian,Taian,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Shanghai,province,,,2020-02-10,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Shanghai,province,,,2020-02-10,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Chengdu,Chengdu,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Chengdu,Chengdu,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Deyang,Deyang,2020-02-09,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Deyang,Deyang,2020-02-09,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Garzê,Garzê,2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Guangyuan,Guangyuan,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Guangyuan,Guangyuan,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Mianyang,Mianyang,2020-02-09,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Mianyang,Mianyang,2020-02-09,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Neijiang,Neijiang,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Ngawa,Ngawa,2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Suining,Suining,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Suining,Suining,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Ya'an,Yaan,2020-02-06,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Sichuan,prefecture,Yaan,Yaan,2020-02-06,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Ziyang,Ziyang,2020-02-08,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Sichuan,prefecture,Ziyang,Ziyang,2020-02-08,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Tianjin,district,"Baodi, Tianjin","Baodi, Tianjin",2020-02-09,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Tianjin,prefecture,Tianjin,Tianjin,2020-02-07,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Tianjin,province,,,2020-02-07,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Yunnan,prefecture,Kunming,Kunming,2020-02-05,,checkpoints and quarantine zones,closed management,https://www.nber.org/papers/w26906.pdf,,TRUE
Yunnan,prefecture,Kunming,Kunming,2020-02-05,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Hangzhou,Hangzhou,2020-02-04,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Zhejiang,prefecture,Hangzhou,Hangzhou,2020-02-04,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Hangzhou,Hangzhou,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Ningbo,Ningbo,2020-02-04,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Zhejiang,prefecture,Ningbo,Ningbo,2020-02-05,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Ningbo,Ningbo,2020-02-04,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Taizhou,Taizhou,2020-02-03,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Wenling,Wenling,2020-02-02,,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Wenzhou,Wenzhou,2020-02-02,,partial shutdown,partial shutdown,https://www.nber.org/papers/w26906.pdf,,TRUE
Zhejiang,prefecture,Wenzhou,Wenzhou,2020-02-02,2020-02-08,household-based outdoor restrictions,partial shutdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
Zhejiang,prefecture,Wenzhou,Wenzhou,2020-02-02,,closed management,closed management,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Hubei,,TRUE
