,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,announce,start,end,enforce,group,country_label,all_requ,gen_requ,tar_requ,all_reco,date_start_gen_req_min,check1,first_order,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
514,Thailand,THA,1/1/2020,3/20/2020,0_no_measures,missing,,NA,,,control,c_THA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
318,Lithuania,LTU,3/16/2020,5/31/2020,1_recommended,1_general,3/14/2020,3/16/2020,4/22/2020,mandatory,treatment,t_LTU,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,,,,FALSE,TRUE
516,Timor-Leste,TLS,1/1/2020,3/27/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_TLS,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
356,Mozambique,MOZ,4/1/2020,5/31/2020,1_recommended,1_general,3/30/2020,3/30/2020,5/30/2020,voluntary,treatment,t_MOZ,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,,,,FALSE,TRUE
518,Togo,TGO,1/1/2020,3/19/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_TGO,TRUE,TRUE,FALSE,TRUE,4/2/2020,NA,NA,,,,,,
330,Malaysia,MYS,3/18/2020,5/31/2020,1_recommended,1_general,3/16/2020,3/18/2020,5/12/2020,mandatory,treatment,t_MYS,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,update,3/18/2020,3_required,,FALSE,FALSE
364,Nepal,NPL,3/20/2020,3/22/2020,1_recommended,1_general,3/24/2020,3/24/2020,6/14/2020,mandatory,treatment,t_NPL,TRUE,TRUE,TRUE,TRUE,3/24/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
521,Trinidad and Tobago,TTO,1/1/2020,3/29/2020,0_no_measures,missing,3/26/2020,3/30/2020,4/30/2020,voluntary,treatment,t_TTO,TRUE,TRUE,FALSE,FALSE,3/30/2020,TRUE,TRUE,,,,,,
365,Nepal,NPL,3/23/2020,3/23/2020,2_required_exceptions,0_targeted,3/24/2020,3/24/2020,6/14/2020,mandatory,treatment,t_NPL,TRUE,TRUE,TRUE,TRUE,3/24/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
523,Tunisia,TUN,1/1/2020,3/19/2020,0_no_measures,missing,3/20/2020,3/22/2020,5/3/2020,mandatory,treatment,t_TUN,TRUE,TRUE,FALSE,TRUE,3/20/2020,TRUE,TRUE,,,,,,
366,Nepal,NPL,3/24/2020,5/31/2020,2_required_exceptions,1_general,3/24/2020,3/24/2020,6/14/2020,mandatory,treatment,t_NPL,TRUE,TRUE,TRUE,TRUE,3/24/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
373,New Zealand,NZL,3/21/2020,3/22/2020,1_recommended,1_general,3/25/2020,3/25/2020,4/26/2020,mandatory,treatment,t_NZL,TRUE,TRUE,FALSE,TRUE,3/23/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
526,Turkey,TUR,1/1/2020,3/8/2020,0_no_measures,missing,4/20/2020,4/23/2020,4/26/2020,mandatory,treatment,t_TUR,TRUE,TRUE,TRUE,TRUE,3/21/2020,FALSE,FALSE,,,,,,
374,New Zealand,NZL,3/23/2020,5/13/2020,2_required_exceptions,1_general,3/25/2020,3/25/2020,4/26/2020,mandatory,treatment,t_NZL,TRUE,TRUE,FALSE,TRUE,3/23/2020,TRUE,TRUE,TRUE,,,,FALSE,TRUE
388,Pakistan,PAK,3/23/2020,5/16/2020,2_required_exceptions,1_general,3/23/2020,3/23/2020,5/9/2020,mandatory,treatment,t_PAK,TRUE,TRUE,TRUE,FALSE,3/23/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
389,Pakistan,PAK,5/17/2020,5/31/2020,2_required_exceptions,0_targeted,3/23/2020,3/23/2020,5/9/2020,mandatory,treatment,t_PAK,TRUE,TRUE,TRUE,FALSE,3/23/2020,TRUE,TRUE,TRUE,,,,FALSE,FALSE
