,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,announce,start,end,enforce,group,country_label,all_requ,gen_requ,tar_requ,all_reco,date_start_gen_req_min,check1,first_order,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
152,Dominican Republic,DOM,5/18/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_DOM,TRUE,TRUE,FALSE,TRUE,4/18/2020,NA,NA,TRUE,,,,FALSE,FALSE
154,Ecuador,ECU,3/17/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_ECU,TRUE,TRUE,FALSE,FALSE,3/17/2020,NA,NA,TRUE,,,,FALSE,FALSE
27,Australia,AUS,1/1/2020,3/23/2020,0_no_measures,missing,3/23/2020,3/23/2020,5/16/2020,voluntary,treatment,t_AUS,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,update,,,,FALSE,
156,Egypt,EGY,3/25/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_EGY,TRUE,TRUE,FALSE,FALSE,3/25/2020,NA,NA,TRUE,,,,FALSE,FALSE
176,Finland,FIN,3/16/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_FIN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,FALSE,TRUE
198,Ghana,GHA,3/30/2020,4/17/2020,2_required_exceptions,1_general,,NA,,,control,c_GHA,TRUE,TRUE,TRUE,FALSE,3/30/2020,NA,NA,TRUE,,,,FALSE,FALSE
199,Ghana,GHA,4/18/2020,4/18/2020,2_required_exceptions,0_targeted,,NA,,,control,c_GHA,TRUE,TRUE,TRUE,FALSE,3/30/2020,NA,NA,TRUE,,,,FALSE,FALSE
32,Australia,AUS,5/29/2020,5/31/2020,0_no_measures,missing,3/23/2020,3/23/2020,5/16/2020,voluntary,treatment,t_AUS,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,update,,,,FALSE,
33,Austria,AUT,1/1/2020,3/15/2020,0_no_measures,missing,3/15/2020,3/16/2020,4/13/2020,mandatory,treatment,t_AUT,TRUE,TRUE,FALSE,FALSE,3/16/2020,TRUE,TRUE,,,,,,
222,Honduras,HND,3/16/2020,5/31/2020,3_required,1_general,,NA,,,control,c_HND,TRUE,TRUE,FALSE,FALSE,3/16/2020,NA,NA,update,3/21/2020,2_required_exceptions,,TRUE,FALSE
35,Austria,AUT,5/1/2020,5/31/2020,0_no_measures,missing,3/15/2020,3/16/2020,4/13/2020,mandatory,treatment,t_AUT,TRUE,TRUE,FALSE,FALSE,3/16/2020,TRUE,TRUE,,,,,,
36,Azerbaijan,AZE,1/1/2020,3/30/2020,0_no_measures,missing,3/23/2020,3/24/2020,8/1/2020,mandatory,treatment,t_AZE,TRUE,TRUE,FALSE,TRUE,3/31/2020,FALSE,FALSE,,,,,,
238,Indonesia,IDN,4/10/2020,5/31/2020,2_required_exceptions,0_targeted,,NA,,,control,c_IDN,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,,,,TRUE,FALSE
245,Ireland,IRL,3/26/2020,3/27/2020,1_recommended,1_general,,NA,,,control,c_IRL,TRUE,TRUE,FALSE,TRUE,3/28/2020,NA,NA,TRUE,,,,FALSE,TRUE
39,Bahrain,BHR,1/1/2020,3/17/2020,0_no_measures,missing,,NA,,,control,c_BHR,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
246,Ireland,IRL,3/28/2020,5/17/2020,2_required_exceptions,1_general,,NA,,,control,c_IRL,TRUE,TRUE,FALSE,TRUE,3/28/2020,NA,NA,TRUE,,,,FALSE,TRUE
41,Bangladesh,BGD,1/1/2020,3/18/2020,0_no_measures,missing,3/23/2020,3/26/2020,5/30/2020,mandatory,treatment,t_BGD,TRUE,TRUE,TRUE,TRUE,4/10/2020,FALSE,FALSE,,,,,,
247,Ireland,IRL,5/18/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_IRL,TRUE,TRUE,FALSE,TRUE,3/28/2020,NA,NA,TRUE,,,,FALSE,TRUE
260,Jamaica,JAM,3/13/2020,3/24/2020,3_required,0_targeted,,NA,,,control,c_JAM,TRUE,TRUE,TRUE,TRUE,4/1/2020,NA,NA,update,3/17/2020,2_required_exceptions,1_general,FALSE,FALSE
261,Jamaica,JAM,3/25/2020,3/31/2020,1_recommended,1_general,,NA,,,control,c_JAM,TRUE,TRUE,TRUE,TRUE,4/1/2020,NA,NA,TRUE,,,,FALSE,FALSE
262,Jamaica,JAM,4/1/2020,4/14/2020,2_required_exceptions,1_general,,NA,,,control,c_JAM,TRUE,TRUE,TRUE,TRUE,4/1/2020,NA,NA,update,4/1/2020,3_required,,FALSE,FALSE
46,Barbados,BRB,1/1/2020,3/27/2020,0_no_measures,missing,3/26/2020,3/28/2020,5/3/2020,mandatory,treatment,t_BRB,TRUE,TRUE,FALSE,TRUE,4/3/2020,FALSE,FALSE,,,,,,
263,Jamaica,JAM,4/15/2020,4/21/2020,3_required,0_targeted,,NA,,,control,c_JAM,TRUE,TRUE,TRUE,TRUE,4/1/2020,NA,NA,TRUE,,,,FALSE,FALSE
264,Jamaica,JAM,4/22/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_JAM,TRUE,TRUE,TRUE,TRUE,4/1/2020,NA,NA,TRUE,,,,FALSE,FALSE
266,Japan,JPN,4/7/2020,4/15/2020,1_recommended,0_targeted,,NA,,,control,c_JPN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,TRUE,TRUE
50,Belarus,BLR,1/1/2020,5/31/2020,0_no_measures,missing,,NA,,,control,c_BLR,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,,,,,,
51,Belgium,BEL,1/1/2020,3/17/2020,0_no_measures,missing,3/17/2020,3/18/2020,5/3/2020,mandatory,treatment,t_BEL,TRUE,TRUE,FALSE,FALSE,3/18/2020,TRUE,TRUE,,,,,,
267,Japan,JPN,4/16/2020,5/13/2020,1_recommended,1_general,,NA,,,control,c_JPN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,TRUE,TRUE
53,Belize,BLZ,1/1/2020,4/26/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BLZ,TRUE,TRUE,TRUE,FALSE,5/15/2020,NA,NA,,,,,,
268,Japan,JPN,5/14/2020,5/24/2020,1_recommended,0_targeted,,NA,,,control,c_JPN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,TRUE,TRUE
278,Kenya,KEN,3/27/2020,4/5/2020,2_required_exceptions,1_general,,NA,,,control,c_KEN,TRUE,TRUE,TRUE,FALSE,3/27/2020,NA,NA,TRUE,,,,FALSE,FALSE
56,Benin,BEN,1/1/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BEN,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,,,,,,
57,Bermuda,BMU,1/1/2020,4/3/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BMU,TRUE,TRUE,FALSE,TRUE,4/4/2020,NA,NA,,,,,,
279,Kenya,KEN,4/6/2020,5/3/2020,3_required,0_targeted,,NA,,,control,c_KEN,TRUE,TRUE,TRUE,FALSE,3/27/2020,NA,NA,TRUE,,,,FALSE,FALSE
280,Kenya,KEN,5/4/2020,5/31/2020,3_required,1_general,,NA,,,control,c_KEN,TRUE,TRUE,TRUE,FALSE,3/27/2020,NA,NA,TRUE,,,,FALSE,FALSE
60,Bhutan,BTN,1/1/2020,3/25/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BTN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
354,Morocco,MAR,3/20/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_MAR,TRUE,TRUE,FALSE,FALSE,3/20/2020,NA,NA,TRUE,,,,FALSE,FALSE
62,Bolivia,BOL,1/1/2020,3/16/2020,0_no_measures,missing,3/21/2020,3/22/2020,7/31/2020,mandatory,treatment,t_BOL,TRUE,TRUE,FALSE,FALSE,3/17/2020,FALSE,FALSE,,,,,,
340,Mexico,MEX,3/30/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_MEX,TRUE,TRUE,FALSE,FALSE,3/30/2020,NA,NA,update,3/30/2020,1_recommended,,TRUE,TRUE
64,Bosnia and Herzegovina,BIH,1/1/2020,3/19/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BIH,TRUE,TRUE,TRUE,FALSE,4/24/2020,NA,NA,,,,,,
345,Mongolia,MNG,5/5/2020,5/7/2020,3_required,0_targeted,,NA,,,control,c_MNG,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,,,,TRUE,FALSE
328,Malawi,MWI,4/18/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_MWI,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,FALSE,TRUE
361,Namibia,NAM,3/27/2020,5/6/2020,2_required_exceptions,0_targeted,,NA,,,control,c_NAM,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,update,3/27/2020,1_recommended,1_general,FALSE,TRUE
68,Bosnia and Herzegovina,BIH,5/21/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BIH,TRUE,TRUE,TRUE,FALSE,4/24/2020,NA,NA,,,,,,
69,Botswana,BWA,1/1/2020,4/1/2020,0_no_measures,missing,3/31/2020,4/2/2020,5/7/2020,mandatory,treatment,t_BWA,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,,,,,,
362,Namibia,NAM,5/7/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_NAM,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,,,,FALSE,TRUE
368,Netherlands,NLD,3/6/2020,3/11/2020,1_recommended,0_targeted,,NA,,,control,c_NLD,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,TRUE
72,Brazil,BRA,1/1/2020,3/12/2020,0_no_measures,missing,,NA,,,control,c_BRA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,,,,,,
369,Netherlands,NLD,3/12/2020,3/22/2020,1_recommended,1_general,,NA,,,control,c_NLD,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,TRUE
370,Netherlands,NLD,3/23/2020,5/10/2020,2_required_exceptions,1_general,,NA,,,control,c_NLD,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,TRUE
75,British Virgin Islands,VGB,1/1/2020,3/24/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_VGB,TRUE,TRUE,FALSE,FALSE,3/25/2020,NA,NA,,,,,,
371,Netherlands,NLD,5/11/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_NLD,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,TRUE
384,Oman,OMN,4/10/2020,4/29/2020,2_required_exceptions,1_general,,NA,,,control,c_OMN,TRUE,TRUE,TRUE,TRUE,4/10/2020,NA,NA,TRUE,,,,FALSE,FALSE
385,Oman,OMN,4/30/2020,5/20/2020,2_required_exceptions,0_targeted,,NA,,,control,c_OMN,TRUE,TRUE,TRUE,TRUE,4/10/2020,NA,NA,TRUE,,,,FALSE,FALSE
79,Brunei,BRN,1/1/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BRN,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,,,,,,
80,Bulgaria,BGR,1/1/2020,3/17/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BGR,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
386,Oman,OMN,5/21/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_OMN,TRUE,TRUE,TRUE,TRUE,4/10/2020,NA,NA,TRUE,,,,FALSE,FALSE
405,Peru,PER,3/15/2020,3/17/2020,2_required_exceptions,1_general,,NA,,,control,c_PER,TRUE,TRUE,FALSE,FALSE,3/15/2020,NA,NA,update,3/14/2020,1_recommended,,FALSE,TRUE
406,Peru,PER,3/18/2020,5/10/2020,3_required,1_general,,NA,,,control,c_PER,TRUE,TRUE,FALSE,FALSE,3/15/2020,NA,NA,TRUE,,,,FALSE,TRUE
407,Peru,PER,5/11/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_PER,TRUE,TRUE,FALSE,FALSE,3/15/2020,NA,NA,TRUE,,,,FALSE,TRUE
85,Bulgaria,BGR,5/31/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BGR,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
86,Burkina Faso,BFA,1/1/2020,3/20/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BFA,TRUE,TRUE,FALSE,FALSE,3/21/2020,NA,NA,,,,,,
409,Philippines,PHL,3/15/2020,3/17/2020,2_required_exceptions,0_targeted,,NA,,,control,c_PHL,TRUE,TRUE,TRUE,TRUE,3/18/2020,NA,NA,TRUE,,,,TRUE,FALSE
88,Burundi,BDI,1/1/2020,3/4/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_BDI,TRUE,TRUE,FALSE,FALSE,3/5/2020,NA,NA,,,,,,
410,Philippines,PHL,3/18/2020,4/30/2020,3_required,1_general,,NA,,,control,c_PHL,TRUE,TRUE,TRUE,TRUE,3/18/2020,NA,NA,TRUE,,,,TRUE,FALSE
90,Cambodia,KHM,1/1/2020,5/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_KHM,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,,,,,,
91,Cameroon,CMR,1/1/2020,5/31/2020,0_no_measures,missing,,NA,,,control,c_CMR,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,,,,,,
92,Canada,CAN,1/1/2020,3/13/2020,0_no_measures,missing,,NA,,,control,c_CAN,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
411,Philippines,PHL,5/1/2020,5/28/2020,2_required_exceptions,1_general,,NA,,,control,c_PHL,TRUE,TRUE,TRUE,TRUE,3/18/2020,NA,NA,TRUE,,,,TRUE,FALSE
412,Philippines,PHL,5/29/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_PHL,TRUE,TRUE,TRUE,TRUE,3/18/2020,NA,NA,TRUE,,,,TRUE,FALSE
95,Cape Verde,CPV,1/1/2020,3/19/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CPV,TRUE,TRUE,TRUE,TRUE,4/1/2020,NA,NA,,,,,,
400,Paraguay,PRY,3/10/2020,3/16/2020,1_recommended,1_general,,NA,,,control,c_PRY,TRUE,TRUE,FALSE,TRUE,3/17/2020,NA,NA,TRUE,,,,FALSE,TRUE
401,Paraguay,PRY,3/17/2020,4/8/2020,2_required_exceptions,1_general,,NA,,,control,c_PRY,TRUE,TRUE,FALSE,TRUE,3/17/2020,NA,NA,TRUE,,,,FALSE,TRUE
98,Cayman Islands,CYM,1/1/2020,3/23/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CYM,TRUE,TRUE,TRUE,FALSE,3/24/2020,NA,NA,,,,,,
402,Paraguay,PRY,4/9/2020,5/24/2020,3_required,1_general,,NA,,,control,c_PRY,TRUE,TRUE,FALSE,TRUE,3/17/2020,NA,NA,TRUE,,,,FALSE,TRUE
403,Paraguay,PRY,5/25/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_PRY,TRUE,TRUE,FALSE,TRUE,3/17/2020,NA,NA,TRUE,,,,FALSE,TRUE
424,Qatar,QAT,3/17/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_QAT,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,,,,FALSE,TRUE
441,Saudi Arabia,SAU,3/23/2020,4/5/2020,2_required_exceptions,1_general,,NA,,,control,c_SAU,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,FALSE
442,Saudi Arabia,SAU,4/6/2020,5/22/2020,3_required,0_targeted,,NA,,,control,c_SAU,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,FALSE
104,Central African Republic,CAF,1/1/2020,5/7/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CAF,TRUE,TRUE,FALSE,FALSE,5/8/2020,NA,NA,,,,,,
443,Saudi Arabia,SAU,5/23/2020,5/30/2020,3_required,1_general,,NA,,,control,c_SAU,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,FALSE
106,Chad,TCD,1/1/2020,4/1/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_TCD,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,,,,,,
444,Saudi Arabia,SAU,5/31/2020,5/31/2020,1_recommended,0_targeted,,NA,,,control,c_SAU,TRUE,TRUE,TRUE,TRUE,3/23/2020,NA,NA,TRUE,,,,FALSE,FALSE
108,Chile,CHL,1/1/2020,3/24/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CHL,TRUE,TRUE,TRUE,FALSE,3/25/2020,NA,NA,,,,,,
446,Senegal,SEN,3/25/2020,5/31/2020,3_required,1_general,,NA,,,control,c_SEN,TRUE,TRUE,FALSE,FALSE,3/25/2020,NA,NA,TRUE,,,,FALSE,FALSE
461,Singapore,SGP,4/3/2020,4/7/2020,1_recommended,1_general,,NA,,,control,c_SGP,TRUE,TRUE,FALSE,TRUE,4/8/2020,NA,NA,TRUE,,,,FALSE,TRUE
111,China,CHN,1/1/2020,1/22/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CHN,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,,,,,,
462,Singapore,SGP,4/8/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_SGP,TRUE,TRUE,FALSE,TRUE,4/8/2020,NA,NA,TRUE,,,,FALSE,TRUE
515,Thailand,THA,3/21/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_THA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,new,4/3/2020,2_required_exceptions,,TRUE,TRUE
537,Uganda,UGA,3/30/2020,5/17/2020,2_required_exceptions,1_general,,NA,,,control,c_UGA,TRUE,TRUE,FALSE,TRUE,3/30/2020,NA,NA,update,3/31/2020,2_required_exceptions,,FALSE,FALSE
538,Uganda,UGA,5/18/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_UGA,TRUE,TRUE,FALSE,TRUE,3/30/2020,NA,NA,TRUE,,,,FALSE,FALSE
116,Colombia,COL,1/1/2020,3/24/2020,0_no_measures,missing,3/24/2020,3/25/2020,7/15/2020,mandatory,treatment,t_COL,TRUE,TRUE,FALSE,FALSE,3/25/2020,TRUE,TRUE,,,,,,
540,Ukraine,UKR,3/16/2020,4/2/2020,1_recommended,1_general,,NA,,,control,c_UKR,TRUE,TRUE,FALSE,TRUE,4/3/2020,NA,NA,TRUE,,,,FALSE,TRUE
118,Congo,COG,1/1/2020,3/27/2020,0_no_measures,missing,3/30/2020,3/31/2020,4/20/2020,mandatory,treatment,t_COG,TRUE,TRUE,FALSE,FALSE,3/28/2020,FALSE,FALSE,,,,,,
541,Ukraine,UKR,4/3/2020,5/31/2020,2_required_exceptions,1_general,,NA,,,control,c_UKR,TRUE,TRUE,FALSE,TRUE,4/3/2020,NA,NA,TRUE,,,,FALSE,TRUE
553,Uruguay,URY,3/13/2020,4/1/2020,1_recommended,1_general,,NA,,,control,c_URY,TRUE,TRUE,FALSE,TRUE,4/2/2020,NA,NA,TRUE,,,,FALSE,TRUE
121,Costa Rica,CRI,1/1/2020,3/31/2020,0_no_measures,missing,,NA,,,control,c_CRI,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
554,Uruguay,URY,4/2/2020,4/12/2020,2_required_exceptions,1_general,,NA,,,control,c_URY,TRUE,TRUE,FALSE,TRUE,4/2/2020,NA,NA,TRUE,,,,FALSE,TRUE
123,Cote d'Ivoire,CIV,1/1/2020,3/22/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CIV,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
555,Uruguay,URY,4/13/2020,5/31/2020,1_recommended,1_general,,NA,,,control,c_URY,TRUE,TRUE,FALSE,TRUE,4/2/2020,NA,NA,TRUE,,,,FALSE,TRUE
125,Croatia,HRV,1/1/2020,3/22/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_HRV,TRUE,TRUE,FALSE,TRUE,3/23/2020,NA,NA,,,,,,
572,Zambia,ZMB,4/9/2020,4/14/2020,1_recommended,1_general,,NA,,,control,c_ZMB,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,,,,FALSE,TRUE
573,Zambia,ZMB,4/15/2020,5/7/2020,2_required_exceptions,0_targeted,,NA,,,control,c_ZMB,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,update,,,,FALSE,TRUE
128,Cuba,CUB,1/1/2020,3/23/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_CUB,TRUE,TRUE,TRUE,FALSE,5/5/2020,NA,NA,,,,,,
20,Aruba,ABW,3/21/2020,3/28/2020,1_recommended,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,update,3/21/2020,2_required_exceptions,,FALSE,FALSE
21,Aruba,ABW,3/29/2020,4/9/2020,2_required_exceptions,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,update,3/29/2020,3_required,,FALSE,FALSE
22,Aruba,ABW,4/10/2020,4/10/2020,3_required,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,TRUE,,,,FALSE,
132,Cyprus,CYP,1/1/2020,3/23/2020,0_no_measures,missing,,NA,,,control,c_CYP,TRUE,TRUE,FALSE,TRUE,3/24/2020,NA,NA,,,,,,
23,Aruba,ABW,4/11/2020,4/11/2020,2_required_exceptions,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,TRUE,,,,FALSE,
24,Aruba,ABW,4/12/2020,4/13/2020,3_required,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,TRUE,,,,FALSE,
135,Czech Republic,CZE,1/1/2020,3/14/2020,0_no_measures,missing,,NA,,,control,c_CZE,TRUE,TRUE,FALSE,TRUE,3/15/2020,NA,NA,,,,,,
25,Aruba,ABW,4/14/2020,5/27/2020,2_required_exceptions,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,TRUE,,,,FALSE,
26,Aruba,ABW,5/28/2020,5/31/2020,1_recommended,1_general,NA,NA,NA,NA,NA,na_ABW,TRUE,TRUE,FALSE,TRUE,3/29/2020,NA,NA,TRUE,,,,FALSE,
138,Democratic Republic of Congo,COD,1/1/2020,4/5/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_COD,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,,,,,,
2,Afghanistan,AFG,3/25/2020,5/31/2020,2_required_exceptions,0_targeted,NA,NA,NA,NA,NA,na_AFG,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,,,,,,
140,Denmark,DNK,1/1/2020,3/2/2020,0_no_measures,missing,3/12/2020,3/13/2020,4/13/2020,voluntary,treatment,t_DNK,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,,,,,,
14,Anguilla,AIA,3/27/2020,4/28/2020,2_required_exceptions,1_general,NA,NA,NA,NA,NA,na_AIA,TRUE,TRUE,FALSE,FALSE,3/27/2020,NA,NA,,,,,,
142,Djibouti,DJI,1/1/2020,3/22/2020,0_no_measures,missing,3/23/2020,3/23/2020,5/17/2020,mandatory,treatment,t_DJI,TRUE,TRUE,FALSE,FALSE,3/23/2020,TRUE,TRUE,,,,,,
9,Andorra,AND,3/13/2020,5/31/2020,1_recommended,1_general,NA,NA,NA,NA,NA,na_AND,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,,,,,,
144,Djibouti,DJI,5/17/2020,5/31/2020,0_no_measures,missing,3/23/2020,3/23/2020,5/17/2020,mandatory,treatment,t_DJI,TRUE,TRUE,FALSE,FALSE,3/23/2020,TRUE,TRUE,,,,,,
145,Dominica,DMA,1/1/2020,3/31/2020,0_no_measures,missing,NA,NA,NA,NA,NA,na_DMA,TRUE,TRUE,FALSE,TRUE,4/1/2020,NA,NA,,,,,,
89,Burundi,BDI,3/5/2020,5/31/2020,3_required,1_general,NA,NA,NA,NA,NA,na_BDI,TRUE,TRUE,FALSE,FALSE,3/5/2020,NA,NA,,,,,,
87,Burkina Faso,BFA,3/21/2020,5/31/2020,2_required_exceptions,1_general,NA,NA,NA,NA,NA,na_BFA,TRUE,TRUE,FALSE,FALSE,3/21/2020,NA,NA,,,,,,
148,Dominican Republic,DOM,1/1/2020,3/16/2020,0_no_measures,missing,,NA,,,control,c_DOM,TRUE,TRUE,FALSE,TRUE,4/18/2020,NA,NA,,,,,,
81,Bulgaria,BGR,3/18/2020,3/31/2020,2_required_exceptions,0_targeted,NA,NA,NA,NA,NA,na_BGR,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
82,Bulgaria,BGR,4/1/2020,4/14/2020,1_recommended,1_general,NA,NA,NA,NA,NA,na_BGR,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
83,Bulgaria,BGR,4/15/2020,5/7/2020,2_required_exceptions,0_targeted,NA,NA,NA,NA,NA,na_BGR,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
84,Bulgaria,BGR,5/8/2020,5/30/2020,1_recommended,1_general,NA,NA,NA,NA,NA,na_BGR,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,,,,,,
153,Ecuador,ECU,1/1/2020,3/16/2020,0_no_measures,missing,,NA,,,control,c_ECU,TRUE,TRUE,FALSE,FALSE,3/17/2020,NA,NA,,,,,,
65,Bosnia and Herzegovina,BIH,3/20/2020,4/23/2020,3_required,0_targeted,NA,NA,NA,NA,NA,na_BIH,TRUE,TRUE,TRUE,FALSE,4/24/2020,NA,NA,update,3/17/2020,2_required_exceptions,1_general,FALSE,FALSE
155,Egypt,EGY,1/1/2020,3/24/2020,0_no_measures,missing,,NA,,,control,c_EGY,TRUE,TRUE,FALSE,FALSE,3/25/2020,NA,NA,,,,,,
66,Bosnia and Herzegovina,BIH,4/24/2020,5/13/2020,2_required_exceptions,1_general,NA,NA,NA,NA,NA,na_BIH,TRUE,TRUE,TRUE,FALSE,4/24/2020,NA,NA,TRUE,,,,FALSE,
157,El Salvador,SLV,1/1/2020,3/20/2020,0_no_measures,missing,3/21/2020,3/21/2020,6/15/2020,mandatory,treatment,t_SLV,TRUE,TRUE,FALSE,FALSE,3/21/2020,TRUE,TRUE,,,,,,
67,Bosnia and Herzegovina,BIH,5/14/2020,5/20/2020,2_required_exceptions,0_targeted,NA,NA,NA,NA,NA,na_BIH,TRUE,TRUE,TRUE,FALSE,4/24/2020,NA,NA,TRUE,,,,FALSE,
159,Eritrea,ERI,1/1/2020,3/22/2020,0_no_measures,missing,4/1/2020,4/2/2020,4/23/2020,mandatory,treatment,t_ERI,TRUE,TRUE,FALSE,TRUE,4/1/2020,TRUE,TRUE,,,,,,
54,Belize,BLZ,4/27/2020,5/14/2020,2_required_exceptions,0_targeted,NA,NA,NA,NA,NA,na_BLZ,TRUE,TRUE,TRUE,FALSE,5/15/2020,NA,NA,update,4/1/2020,2_required_exceptions,1_general,TRUE,FALSE
