province,city_level,place_cln,date_start,date_end,sah_standard,flag_any_policy_overlap,flag_shutdown_policy_overlap,flag_date_overlap
Hubei,prefecture,Suizhou,2020-01-24,NA,complete shutdown,FALSE,FALSE,NA
Hubei,prefecture,Suizhou,2020-01-24,2020-03-25,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Tianmen,2020-01-24,NA,complete shutdown,FALSE,FALSE,NA
Hubei,district,Tianmen,2020-01-24,2020-03-25,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Wuhan,2020-01-23,NA,complete shutdown,FALSE,FALSE,NA
Hubei,district,Wuhan,2020-01-23,2020-04-08,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Xiangyang,2020-01-28,NA,complete shutdown,FALSE,FALSE,NA
Hubei,prefecture,Xiangyang,2020-01-28,2020-03-25,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Xianning,2020-01-24,NA,complete shutdown,FALSE,FALSE,NA
Hubei,prefecture,Xianning,2020-01-24,2020-03-25,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Xiantao,2020-01-24,NA,complete shutdown,FALSE,FALSE,NA
Hubei,district,Xiantao,2020-01-24,2020-03-25,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Xiaogan,2020-01-24,NA,complete shutdown,FALSE,FALSE,NA
Hubei,prefecture,Xiaogan,2020-01-24,2020-03-25,complete shutdown,FALSE,FALSE,FALSE
Hubei,prefecture,Yichang,2020-01-24,NA,complete shutdown,FALSE,FALSE,NA
Hubei,prefecture,Yichang,2020-01-24,2020-03-25,complete shutdown,FALSE,FALSE,NA
Hubei,province,NA,2020-02-07,NA,closed management,FALSE,FALSE,NA
Hubei,province,NA,2020-02-16,2020-04-08,partial shutdown,FALSE,FALSE,FALSE
Jiangsu,district,Buning,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Changzhou,2020-02-04,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,district,"Hailing, Taizhou",2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Jiangsu,prefecture,Huaian,2020-02-03,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,district,Jiangyan,2020-02-04,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,district,Jiangyin,2020-02-03,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Lianyungang,2020-02-07,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Nanjing,2020-02-04,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Nantong,2020-02-04,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Suqian,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Suzhou,2020-02-06,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Taizhou,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Wuxi,2020-02-09,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Xuzhou,2020-02-04,NA,closed management,TRUE,FALSE,NA
Jiangsu,prefecture,Xuzhou,2020-02-04,2020-02-08,partial shutdown,FALSE,FALSE,FALSE
Jiangsu,prefecture,Yangzhou,2020-02-05,NA,closed management,FALSE,FALSE,FALSE
Jiangsu,prefecture,Zhenjiang,2020-02-04,NA,closed management,FALSE,FALSE,FALSE
Jiangxi,prefecture,Jingdezhen,2020-02-04,NA,closed management,TRUE,FALSE,NA
Jiangxi,prefecture,Jingdezhen,2020-02-04,2020-03-31,partial shutdown,FALSE,FALSE,FALSE
Jiangxi,prefecture,Nanchang,2020-02-05,NA,closed management,FALSE,FALSE,NA
Jiangxi,province,NA,2020-02-06,NA,closed management,NA,FALSE,NA
Jiangxi,province,NA,2020-02-06,2020-03-31,partial shutdown,FALSE,FALSE,FALSE
Jilin,prefecture,Jilin,2020-02-06,NA,closed management,FALSE,FALSE,FALSE
Jilin,district,"Kuancheng, Changchun",2020-02-06,NA,partial shutdown,FALSE,FALSE,FALSE
Liaoning,prefecture,Benxi,2020-02-05,NA,partial shutdown,FALSE,FALSE,FALSE
Liaoning,prefecture,Jinzhou,2020-02-06,NA,partial shutdown,NA,NA,NA
Liaoning,province,NA,2020-02-06,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Alashan,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Baotou,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Bayannaoer,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Chifeng,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Ereduosi,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Huhehaote,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Hulunbeier,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Tongliao,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Wuhai,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Wulanchabu,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Xilinguole,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Nei Mongol,prefecture,Xingan,2020-02-12,NA,closed management,FALSE,FALSE,NA
Nei Mongol,province,NA,2020-02-12,NA,closed management,FALSE,FALSE,FALSE
Ningxia Hui,prefecture,Wuzhong,2020-01-31,NA,closed management,FALSE,FALSE,FALSE
Ningxia Hui,prefecture,Yinchuan,2020-01-31,NA,closed management,FALSE,FALSE,FALSE
Shaanxi,district,"Chang'an, Xi'an",2020-02-04,NA,partial shutdown,FALSE,FALSE,FALSE
Shaanxi,prefecture,Hanzhong,2020-02-09,NA,closed management,FALSE,FALSE,FALSE
