,countryname,countrycode,date_start,date_end,stay_home,stay_home_flag,national_required,update_date,update_policy,update_scope,subcountry_first,recommendation_first
382,Norway,NOR,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
384,Oman,OMN,4/10/2020,4/29/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
385,Oman,OMN,4/30/2020,5/20/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
386,Oman,OMN,5/21/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
383,Oman,OMN,1/1/2020,4/9/2020,0_no_measures,missing,,,,,,
387,Pakistan,PAK,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
388,Pakistan,PAK,3/23/2020,5/16/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
389,Pakistan,PAK,5/17/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
391,Palestine,PSE,3/22/2020,5/25/2020,2_required_exceptions,1_general,NA,,,,,
392,Palestine,PSE,5/26/2020,5/31/2020,2_required_exceptions,0_targeted,NA,,,,,
390,Palestine,PSE,1/1/2020,3/21/2020,0_no_measures,missing,NA,,,,,
393,Panama,PAN,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
394,Panama,PAN,3/17/2020,3/31/2020,1_recommended,1_general,update,3/25/2020,2_required_exceptions,1_general,FALSE,FALSE
395,Panama,PAN,4/1/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
397,Papua New Guinea,PNG,4/8/2020,4/26/2020,2_required_exceptions,0_targeted,update,3/24/2020,2_required_exceptions,1_general,FALSE,FALSE
398,Papua New Guinea,PNG,4/27/2020,5/31/2020,1_recommended,0_targeted,TRUE,,,,FALSE,FALSE
396,Papua New Guinea,PNG,1/1/2020,4/7/2020,0_no_measures,missing,,,,,,
400,Paraguay,PRY,3/10/2020,3/16/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
401,Paraguay,PRY,3/17/2020,4/8/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
402,Paraguay,PRY,4/9/2020,5/24/2020,3_required,1_general,TRUE,,,,FALSE,TRUE
403,Paraguay,PRY,5/25/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
399,Paraguay,PRY,1/1/2020,3/9/2020,0_no_measures,missing,,,,,,
405,Peru,PER,3/15/2020,3/17/2020,2_required_exceptions,1_general,update,3/14/2020,1_recommended,1_general,FALSE,TRUE
406,Peru,PER,3/18/2020,5/10/2020,3_required,1_general,TRUE,,,,FALSE,TRUE
407,Peru,PER,5/11/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
404,Peru,PER,1/1/2020,3/14/2020,0_no_measures,missing,,,,,,
409,Philippines,PHL,3/15/2020,3/17/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
410,Philippines,PHL,3/18/2020,4/30/2020,3_required,1_general,TRUE,,,,TRUE,FALSE
411,Philippines,PHL,5/1/2020,5/28/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,FALSE
412,Philippines,PHL,5/29/2020,5/31/2020,1_recommended,1_general,TRUE,,,,TRUE,FALSE
408,Philippines,PHL,1/1/2020,3/14/2020,0_no_measures,missing,,,,,,
413,Pitcairn Islands,PCN,1/1/2020,5/31/2020,NA,missing,,,,,,
414,Poland,POL,1/1/2020,3/30/2020,0_no_measures,missing,,,,,,
417,Poland,POL,5/30/2020,5/31/2020,0_no_measures,missing,,,,,,
415,Poland,POL,3/31/2020,4/8/2020,2_required_exceptions,1_general,update,3/24/2020,2_required_exceptions,1_general,FALSE,FALSE
416,Poland,POL,4/9/2020,5/29/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
418,Portugal,PRT,1/1/2020,3/18/2020,0_no_measures,missing,,,,,,
419,Portugal,PRT,3/19/2020,5/3/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
420,Portugal,PRT,5/4/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
422,Puerto Rico,PRI,3/15/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
421,Puerto Rico,PRI,1/1/2020,3/14/2020,0_no_measures,missing,,,,,,
424,Qatar,QAT,3/17/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
423,Qatar,QAT,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
425,Romania,ROU,1/1/2020,3/11/2020,0_no_measures,missing,,,,,,
426,Romania,ROU,3/12/2020,3/24/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
427,Romania,ROU,3/25/2020,5/14/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
428,Romania,ROU,5/15/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
429,Russia,RUS,1/1/2020,3/4/2020,0_no_measures,missing,,,,,,
430,Russia,RUS,3/5/2020,3/18/2020,2_required_exceptions,0_targeted,update,3/30/2020,1_recommended,1_general,TRUE,TRUE
431,Russia,RUS,3/19/2020,3/29/2020,2_required_exceptions,1_general,update,3/30/2020,1_recommended,1_general,TRUE,TRUE
432,Russia,RUS,3/30/2020,5/31/2020,3_required,0_targeted,TRUE,,,,TRUE,TRUE
433,Rwanda,RWA,1/1/2020,3/20/2020,0_no_measures,missing,,,,,,
434,Rwanda,RWA,3/21/2020,5/3/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
435,Rwanda,RWA,5/4/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
437,San Marino,SMR,3/8/2020,4/9/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
438,San Marino,SMR,4/10/2020,5/2/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
439,San Marino,SMR,5/3/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
436,San Marino,SMR,1/1/2020,3/7/2020,0_no_measures,missing,,,,,,
441,Saudi Arabia,SAU,3/23/2020,4/5/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
442,Saudi Arabia,SAU,4/6/2020,5/22/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
443,Saudi Arabia,SAU,5/23/2020,5/30/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
444,Saudi Arabia,SAU,5/31/2020,5/31/2020,1_recommended,0_targeted,TRUE,,,,FALSE,FALSE
440,Saudi Arabia,SAU,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
446,Senegal,SEN,3/25/2020,5/31/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
445,Senegal,SEN,1/1/2020,3/24/2020,0_no_measures,missing,,,,,,
448,Serbia,SRB,3/15/2020,3/17/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
449,Serbia,SRB,3/18/2020,5/16/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
450,Serbia,SRB,5/17/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
447,Serbia,SRB,1/1/2020,3/14/2020,0_no_measures,missing,,,,,,
452,Seychelles,SYC,4/8/2020,5/3/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
453,Seychelles,SYC,5/4/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
451,Seychelles,SYC,1/1/2020,4/7/2020,0_no_measures,missing,,,,,,
455,Sierra Leone,SLE,4/5/2020,4/7/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
456,Sierra Leone,SLE,4/8/2020,4/25/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
457,Sierra Leone,SLE,4/26/2020,5/2/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
458,Sierra Leone,SLE,5/3/2020,5/5/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
459,Sierra Leone,SLE,5/6/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
454,Sierra Leone,SLE,1/1/2020,4/4/2020,0_no_measures,missing,,,,,,
461,Singapore,SGP,4/3/2020,4/7/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
462,Singapore,SGP,4/8/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
460,Singapore,SGP,1/1/2020,4/2/2020,0_no_measures,missing,,,,,,
464,Slovak Republic,SVK,3/12/2020,4/7/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
465,Slovak Republic,SVK,4/8/2020,4/13/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
466,Slovak Republic,SVK,4/14/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
463,Slovak Republic,SVK,1/1/2020,3/11/2020,0_no_measures,missing,,,,,,
468,Slovenia,SVN,3/14/2020,5/13/2020,1_recommended,1_general,update,3/20/2020,2_required_exceptions,1_general,FALSE,FALSE
467,Slovenia,SVN,1/1/2020,3/13/2020,0_no_measures,missing,,,,,,
469,Slovenia,SVN,5/14/2020,5/31/2020,0_no_measures,missing,,,,,,
470,Solomon Islands,SLB,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
472,Somalia,SOM,4/11/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
471,Somalia,SOM,1/1/2020,4/10/2020,0_no_measures,missing,,,,,,
473,South Africa,ZAF,1/1/2020,3/25/2020,0_no_measures,missing,,,,,,
474,South Africa,ZAF,3/26/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
476,South Korea,KOR,2/23/2020,3/20/2020,1_recommended,0_targeted,TRUE,,,,FALSE,TRUE
477,South Korea,KOR,3/21/2020,4/17/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
478,South Korea,KOR,4/18/2020,4/19/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
480,South Korea,KOR,5/29/2020,5/31/2020,1_recommended,0_targeted,TRUE,,,,FALSE,TRUE
475,South Korea,KOR,1/1/2020,2/22/2020,0_no_measures,missing,,,,,,
479,South Korea,KOR,4/20/2020,5/28/2020,0_no_measures,missing,,,,,,
482,South Sudan,SSD,3/24/2020,4/17/2020,1_recommended,1_general,update,3/25/2020,2_required_exceptions,1_general,FALSE,FALSE
483,South Sudan,SSD,4/18/2020,5/6/2020,2_required_exceptions,0_targeted,update,4/14/2020,2_required_exceptions,1_general,FALSE,FALSE
484,South Sudan,SSD,5/7/2020,5/28/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
485,South Sudan,SSD,5/29/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
481,South Sudan,SSD,1/1/2020,3/23/2020,0_no_measures,missing,,,,,,
487,Spain,ESP,3/14/2020,5/26/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
488,Spain,ESP,5/27/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
486,Spain,ESP,1/1/2020,3/13/2020,0_no_measures,missing,,,,,,
489,Sri Lanka,LKA,1/1/2020,3/17/2020,0_no_measures,missing,,,,,,
490,Sri Lanka,LKA,3/18/2020,3/19/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
491,Sri Lanka,LKA,3/20/2020,4/19/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
492,Sri Lanka,LKA,4/20/2020,4/23/2020,3_required,0_targeted,TRUE,,,,FALSE,FALSE
493,Sri Lanka,LKA,4/24/2020,5/10/2020,3_required,1_general,TRUE,,,,FALSE,FALSE
494,Sri Lanka,LKA,5/11/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
496,Sudan,SDN,3/23/2020,4/17/2020,1_recommended,1_general,update,3/24/2020,2_required_exceptions,1_general,FALSE,FALSE
497,Sudan,SDN,4/18/2020,5/28/2020,2_required_exceptions,0_targeted,update,4/18/2020,2_required_exceptions,1_general,FALSE,FALSE
498,Sudan,SDN,5/29/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
495,Sudan,SDN,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
500,Suriname,SUR,3/28/2020,5/23/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
501,Suriname,SUR,5/24/2020,5/25/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
502,Suriname,SUR,5/26/2020,5/31/2020,2_required_exceptions,0_targeted,update,5/26/2020,2_required_exceptions,1_general,FALSE,FALSE
499,Suriname,SUR,1/1/2020,3/27/2020,0_no_measures,missing,,,,,,
503,Sweden,SWE,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
505,Switzerland,CHE,3/17/2020,5/31/2020,1_recommended,1_general,FALSE,,,,FALSE,TRUE
504,Switzerland,CHE,1/1/2020,3/16/2020,0_no_measures,missing,,,,,,
507,Syria,SYR,4/17/2020,5/24/2020,2_required_exceptions,0_targeted,update,3/25/2020,2_required_exceptions,1_general,FALSE,FALSE
508,Syria,SYR,5/25/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
506,Syria,SYR,1/1/2020,4/16/2020,0_no_measures,missing,,,,,,
509,Taiwan,TWN,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
511,Tajikistan,TJK,5/9/2020,5/11/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
512,Tajikistan,TJK,5/12/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
510,Tajikistan,TJK,1/1/2020,5/8/2020,0_no_measures,missing,,,,,,
513,Tanzania,TZA,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
515,Thailand,THA,3/21/2020,5/31/2020,1_recommended,1_general,update,4/3/2020,2_required_exceptions,,TRUE,TRUE
514,Thailand,THA,1/1/2020,3/20/2020,0_no_measures,missing,,,,,,
517,Timor-Leste,TLS,3/28/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
516,Timor-Leste,TLS,1/1/2020,3/27/2020,0_no_measures,missing,,,,,,
519,Togo,TGO,3/20/2020,4/1/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
520,Togo,TGO,4/2/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
518,Togo,TGO,1/1/2020,3/19/2020,0_no_measures,missing,,,,,,
521,Trinidad and Tobago,TTO,1/1/2020,3/29/2020,0_no_measures,missing,,,,,,
522,Trinidad and Tobago,TTO,3/30/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
523,Tunisia,TUN,1/1/2020,3/19/2020,0_no_measures,missing,,,,,,
524,Tunisia,TUN,3/20/2020,5/14/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
525,Tunisia,TUN,5/15/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
526,Turkey,TUR,1/1/2020,3/8/2020,0_no_measures,missing,,,,,,
527,Turkey,TUR,3/9/2020,3/20/2020,1_recommended,1_general,TRUE,,,,TRUE,TRUE
528,Turkey,TUR,3/21/2020,4/10/2020,2_required_exceptions,1_general,update,3/30/2020,3_required,1_general,TRUE,TRUE
529,Turkey,TUR,4/11/2020,4/12/2020,3_required,0_targeted,TRUE,,,,TRUE,TRUE
530,Turkey,TUR,4/13/2020,4/17/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,TRUE
531,Turkey,TUR,4/18/2020,4/19/2020,3_required,0_targeted,TRUE,,,,TRUE,TRUE
532,Turkey,TUR,4/20/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,TRUE,TRUE
533,Turkmenistan,TKM,1/1/2020,5/31/2020,0_no_measures,missing,,,,,,
535,Turks and Caicos Islands,TCA,3/26/2020,5/31/2020,2_required_exceptions,1_general,NA,,,,,
534,Turks and Caicos Islands,TCA,1/1/2020,3/25/2020,0_no_measures,missing,NA,,,,,
537,Uganda,UGA,3/30/2020,5/17/2020,2_required_exceptions,1_general,update,3/31/2020,2_required_exceptions,1_general,FALSE,FALSE
538,Uganda,UGA,5/18/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
536,Uganda,UGA,1/1/2020,3/29/2020,0_no_measures,missing,,,,,,
540,Ukraine,UKR,3/16/2020,4/2/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
541,Ukraine,UKR,4/3/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
539,Ukraine,UKR,1/1/2020,3/15/2020,0_no_measures,missing,,,,,,
543,United Arab Emirates,ARE,3/13/2020,3/22/2020,1_recommended,0_targeted,TRUE,,,,FALSE,TRUE
544,United Arab Emirates,ARE,3/23/2020,5/14/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,
545,United Arab Emirates,ARE,5/15/2020,5/17/2020,1_recommended,0_targeted,TRUE,,,,FALSE,
542,United Arab Emirates,ARE,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
546,United Arab Emirates,ARE,5/18/2020,5/31/2020,0_no_measures,missing,,,,,,
548,United Kingdom,GBR,3/23/2020,5/12/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
549,United Kingdom,GBR,5/13/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
547,United Kingdom,GBR,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
551,United States,USA,3/15/2020,5/31/2020,2_required_exceptions,0_targeted,NA,,,,,
550,United States,USA,1/1/2020,3/14/2020,0_no_measures,missing,NA,,,,,
553,Uruguay,URY,3/13/2020,4/1/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
554,Uruguay,URY,4/2/2020,4/12/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,TRUE
555,Uruguay,URY,4/13/2020,5/31/2020,1_recommended,1_general,TRUE,,,,FALSE,TRUE
552,Uruguay,URY,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
556,Uzbekistan,UZB,1/1/2020,3/26/2020,0_no_measures,missing,,,,,,
557,Uzbekistan,UZB,3/27/2020,5/7/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
558,Uzbekistan,UZB,5/8/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
560,Vanuatu,VUT,3/26/2020,5/31/2020,1_recommended,1_general,update,3/26/2020,2_required_exceptions,1_general,FALSE,FALSE
559,Vanuatu,VUT,1/1/2020,3/25/2020,0_no_measures,missing,,,,,,
561,Venezuela,VEN,1/1/2020,3/12/2020,0_no_measures,missing,,,,,,
562,Venezuela,VEN,3/13/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
563,Vietnam,VNM,1/1/2020,3/31/2020,0_no_measures,missing,,,,,,
566,Vietnam,VNM,4/22/2020,5/31/2020,0_no_measures,missing,,,,,,
564,Vietnam,VNM,4/1/2020,4/14/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
565,Vietnam,VNM,4/15/2020,4/21/2020,2_required_exceptions,0_targeted,TRUE,,,,FALSE,FALSE
568,Yemen,YEM,5/1/2020,5/4/2020,2_required_exceptions,0_targeted,update,4/2/2020,2_required_exceptions,0_targeted,TRUE,FALSE
569,Yemen,YEM,5/5/2020,5/27/2020,1_recommended,1_general,update,5/6/2020,2_required_exceptions,0_targeted,TRUE,FALSE
570,Yemen,YEM,5/28/2020,5/31/2020,2_required_exceptions,0_targeted,TRUE,,,,TRUE,FALSE
567,Yemen,YEM,1/1/2020,4/30/2020,0_no_measures,missing,,,,,,
572,Zambia,ZMB,4/9/2020,4/14/2020,1_recommended,1_general,update,3/26/2020,1_recommended,1_general,FALSE,TRUE
573,Zambia,ZMB,4/15/2020,5/7/2020,2_required_exceptions,0_targeted,FALSE,,,,FALSE,TRUE
571,Zambia,ZMB,1/1/2020,4/8/2020,0_no_measures,missing,,,,,,
574,Zambia,ZMB,5/8/2020,5/31/2020,0_no_measures,missing,,,,,,
576,Zimbabwe,ZWE,3/23/2020,3/29/2020,1_recommended,1_general,TRUE,,,,FALSE,FALSE
577,Zimbabwe,ZWE,3/30/2020,5/31/2020,2_required_exceptions,1_general,TRUE,,,,FALSE,FALSE
575,Zimbabwe,ZWE,1/1/2020,3/22/2020,0_no_measures,missing,,,,,,
