"","countryname","countrycode","stay_home","stay_home_flag","date_start","date_end"
"518","Togo","TGO","0_no_measures","missing",2020-01-01,2020-03-19
"519","Togo","TGO","1_recommended","1_general",2020-03-20,2020-04-01
"520","Togo","TGO","2_required_exceptions","1_general",2020-04-02,2020-05-31
"521","Trinidad and Tobago","TTO","0_no_measures","missing",2020-01-01,2020-03-29
"522","Trinidad and Tobago","TTO","2_required_exceptions","1_general",2020-03-30,2020-05-31
"523","Tunisia","TUN","0_no_measures","missing",2020-01-01,2020-03-19
"524","Tunisia","TUN","2_required_exceptions","1_general",2020-03-20,2020-05-14
"525","Tunisia","TUN","1_recommended","1_general",2020-05-15,2020-05-31
"526","Turkey","TUR","0_no_measures","missing",2020-01-01,2020-03-08
"527","Turkey","TUR","1_recommended","1_general",2020-03-09,2020-03-20
"528","Turkey","TUR","2_required_exceptions","1_general",2020-03-21,2020-04-10
"529","Turkey","TUR","3_required","0_targeted",2020-04-11,2020-04-12
"530","Turkey","TUR","2_required_exceptions","1_general",2020-04-13,2020-04-17
"531","Turkey","TUR","3_required","0_targeted",2020-04-18,2020-04-19
"532","Turkey","TUR","2_required_exceptions","1_general",2020-04-20,2020-05-31
"533","Turkmenistan","TKM","0_no_measures","missing",2020-01-01,2020-05-31
"534","Turks and Caicos Islands","TCA","0_no_measures","missing",2020-01-01,2020-03-25
"535","Turks and Caicos Islands","TCA","2_required_exceptions","1_general",2020-03-26,2020-05-31
"536","Uganda","UGA","0_no_measures","missing",2020-01-01,2020-03-29
"537","Uganda","UGA","2_required_exceptions","1_general",2020-03-30,2020-05-17
"538","Uganda","UGA","1_recommended","1_general",2020-05-18,2020-05-31
"539","Ukraine","UKR","0_no_measures","missing",2020-01-01,2020-03-15
"540","Ukraine","UKR","1_recommended","1_general",2020-03-16,2020-04-02
"541","Ukraine","UKR","2_required_exceptions","1_general",2020-04-03,2020-05-31
"542","United Arab Emirates","ARE","0_no_measures","missing",2020-01-01,2020-03-12
"543","United Arab Emirates","ARE","1_recommended","0_targeted",2020-03-13,2020-03-22
"544","United Arab Emirates","ARE","2_required_exceptions","1_general",2020-03-23,2020-05-14
"545","United Arab Emirates","ARE","1_recommended","0_targeted",2020-05-15,2020-05-17
"546","United Arab Emirates","ARE","0_no_measures","missing",2020-05-18,2020-05-31
"547","United Kingdom","GBR","0_no_measures","missing",2020-01-01,2020-03-22
"548","United Kingdom","GBR","2_required_exceptions","1_general",2020-03-23,2020-05-12
"549","United Kingdom","GBR","1_recommended","1_general",2020-05-13,2020-05-31
"550","United States","USA","0_no_measures","missing",2020-01-01,2020-03-14
"551","United States","USA","2_required_exceptions","0_targeted",2020-03-15,2020-05-31
