"","countryname","countrycode","stay_home","stay_home_flag","date_start","date_end"
"221","Honduras","HND","0_no_measures","missing",2020-01-01,2020-03-15
"222","Honduras","HND","3_required","1_general",2020-03-16,2020-05-31
"223","Hong Kong","HKG","0_no_measures","missing",2020-01-01,2020-02-07
"224","Hong Kong","HKG","1_recommended","1_general",2020-02-08,2020-05-31
"225","Hungary","HUN","0_no_measures","missing",2020-01-01,2020-03-11
"226","Hungary","HUN","1_recommended","1_general",2020-03-12,2020-03-26
"227","Hungary","HUN","2_required_exceptions","1_general",2020-03-27,2020-05-03
"228","Hungary","HUN","2_required_exceptions","0_targeted",2020-05-04,2020-05-17
"229","Hungary","HUN","1_recommended","1_general",2020-05-18,2020-05-31
"230","Iceland","ISL","0_no_measures","missing",2020-01-01,2020-05-31
"231","India","IND","0_no_measures","missing",2020-01-01,2020-01-25
"232","India","IND","1_recommended","0_targeted",2020-01-26,2020-03-21
"233","India","IND","3_required","1_general",2020-03-22,2020-03-22
"234","India","IND","3_required","0_targeted",2020-03-23,2020-03-24
"235","India","IND","3_required","1_general",2020-03-25,2020-05-03
"236","India","IND","2_required_exceptions","0_targeted",2020-05-04,2020-05-31
"237","Indonesia","IDN","0_no_measures","missing",2020-01-01,2020-04-09
"238","Indonesia","IDN","2_required_exceptions","0_targeted",2020-04-10,2020-05-31
"239","Iran","IRN","0_no_measures","missing",2020-01-01,2020-03-18
"240","Iran","IRN","1_recommended","1_general",2020-03-19,2020-05-31
"241","Iraq","IRQ","0_no_measures","missing",2020-01-01,2020-03-12
"242","Iraq","IRQ","2_required_exceptions","0_targeted",2020-03-13,2020-03-25
"243","Iraq","IRQ","2_required_exceptions","1_general",2020-03-26,2020-05-31
"244","Ireland","IRL","0_no_measures","missing",2020-01-01,2020-03-25
"245","Ireland","IRL","1_recommended","1_general",2020-03-26,2020-03-27
"246","Ireland","IRL","2_required_exceptions","1_general",2020-03-28,2020-05-17
"247","Ireland","IRL","1_recommended","1_general",2020-05-18,2020-05-31
"248","Israel","ISR","0_no_measures","missing",2020-01-01,2020-03-16
"249","Israel","ISR","1_recommended","1_general",2020-03-17,2020-03-19
"250","Israel","ISR","2_required_exceptions","1_general",2020-03-20,2020-04-07
"251","Israel","ISR","3_required","1_general",2020-04-08,2020-04-18
"252","Israel","ISR","2_required_exceptions","1_general",2020-04-19,2020-05-31
"253","Italy","ITA","0_no_measures","missing",2020-01-01,2020-02-22
"254","Italy","ITA","2_required_exceptions","0_targeted",2020-02-23,2020-03-09
"255","Italy","ITA","2_required_exceptions","1_general",2020-03-10,2020-03-19
"256","Italy","ITA","3_required","1_general",2020-03-20,2020-04-09
"257","Italy","ITA","2_required_exceptions","1_general",2020-04-10,2020-05-03
"258","Italy","ITA","1_recommended","1_general",2020-05-04,2020-05-31
"259","Jamaica","JAM","0_no_measures","missing",2020-01-01,2020-03-12
"260","Jamaica","JAM","3_required","0_targeted",2020-03-13,2020-03-24
"261","Jamaica","JAM","1_recommended","1_general",2020-03-25,2020-03-31
"262","Jamaica","JAM","2_required_exceptions","1_general",2020-04-01,2020-04-14
"263","Jamaica","JAM","3_required","0_targeted",2020-04-15,2020-04-21
"264","Jamaica","JAM","2_required_exceptions","1_general",2020-04-22,2020-05-31
"265","Japan","JPN","0_no_measures","missing",2020-01-01,2020-04-06
"266","Japan","JPN","1_recommended","0_targeted",2020-04-07,2020-04-15
"267","Japan","JPN","1_recommended","1_general",2020-04-16,2020-05-13
"268","Japan","JPN","1_recommended","0_targeted",2020-05-14,2020-05-24
"269","Japan","JPN","0_no_measures","missing",2020-05-25,2020-05-31
"270","Jordan","JOR","0_no_measures","missing",2020-01-01,2020-03-17
"271","Jordan","JOR","3_required","1_general",2020-03-18,2020-04-26
"272","Jordan","JOR","2_required_exceptions","1_general",2020-04-27,2020-05-11
"273","Jordan","JOR","1_recommended","1_general",2020-05-12,2020-05-31
"274","Kazakhstan","KAZ","0_no_measures","missing",2020-01-01,2020-03-18
"275","Kazakhstan","KAZ","3_required","0_targeted",2020-03-19,2020-05-10
"276","Kazakhstan","KAZ","2_required_exceptions","0_targeted",2020-05-11,2020-05-31
"277","Kenya","KEN","0_no_measures","missing",2020-01-01,2020-03-26
"278","Kenya","KEN","2_required_exceptions","1_general",2020-03-27,2020-04-05
"279","Kenya","KEN","3_required","0_targeted",2020-04-06,2020-05-03
"280","Kenya","KEN","3_required","1_general",2020-05-04,2020-05-31
"281","Kosovo","RKS","0_no_measures","missing",2020-01-01,2020-03-12
"282","Kosovo","RKS","2_required_exceptions","0_targeted",2020-03-13,2020-03-23
"283","Kosovo","RKS","2_required_exceptions","1_general",2020-03-24,2020-05-31
"284","Kuwait","KWT","0_no_measures","missing",2020-01-01,2020-03-21
"285","Kuwait","KWT","2_required_exceptions","1_general",2020-03-22,2020-04-05
"286","Kuwait","KWT","3_required","0_targeted",2020-04-06,2020-04-20
"287","Kuwait","KWT","2_required_exceptions","1_general",2020-04-21,2020-05-09
"288","Kuwait","KWT","3_required","1_general",2020-05-10,2020-05-30
"289","Kuwait","KWT","3_required","0_targeted",2020-05-31,2020-05-31
"290","Kyrgyz Republic","KGZ","0_no_measures","missing",2020-01-01,2020-03-13
"291","Kyrgyz Republic","KGZ","1_recommended","1_general",2020-03-14,2020-03-24
"292","Kyrgyz Republic","KGZ","3_required","0_targeted",2020-03-25,2020-05-10
"293","Kyrgyz Republic","KGZ","2_required_exceptions","0_targeted",2020-05-11,2020-05-31
"294","Laos","LAO","0_no_measures","missing",2020-01-01,2020-03-29
"295","Laos","LAO","2_required_exceptions","1_general",2020-03-30,2020-05-03
"296","Laos","LAO","0_no_measures","missing",2020-05-04,2020-05-31
"297","Latvia","LVA","0_no_measures","missing",2020-01-01,2020-03-12
"298","Latvia","LVA","1_recommended","1_general",2020-03-13,2020-05-31
"299","Lebanon","LBN","0_no_measures","missing",2020-01-01,2020-03-15
"300","Lebanon","LBN","1_recommended","1_general",2020-03-16,2020-03-17
"301","Lebanon","LBN","2_required_exceptions","1_general",2020-03-18,2020-05-02
"302","Lebanon","LBN","1_recommended","1_general",2020-05-03,2020-05-12
"303","Lebanon","LBN","2_required_exceptions","1_general",2020-05-13,2020-05-17
"304","Lebanon","LBN","1_recommended","1_general",2020-05-18,2020-05-31
"305","Lesotho","LSO","0_no_measures","missing",2020-01-01,2020-03-17
"306","Lesotho","LSO","2_required_exceptions","1_general",2020-03-18,2020-05-05
"307","Lesotho","LSO","1_recommended","1_general",2020-05-06,2020-05-31
"308","Liberia","LBR","0_no_measures","missing",2020-01-01,2020-03-20
"309","Liberia","LBR","2_required_exceptions","0_targeted",2020-03-21,2020-04-07
"310","Liberia","LBR","2_required_exceptions","1_general",2020-04-08,2020-05-31
"311","Libya","LBY","0_no_measures","missing",2020-01-01,2020-03-21
"312","Libya","LBY","2_required_exceptions","1_general",2020-03-22,2020-03-23
"313","Libya","LBY","3_required","0_targeted",2020-03-24,2020-04-07
"314","Libya","LBY","2_required_exceptions","1_general",2020-04-08,2020-04-16
"315","Libya","LBY","3_required","1_general",2020-04-17,2020-05-27
"316","Libya","LBY","2_required_exceptions","1_general",2020-05-28,2020-05-31
"317","Lithuania","LTU","0_no_measures","missing",2020-01-01,2020-03-15
"318","Lithuania","LTU","1_recommended","1_general",2020-03-16,2020-05-31
"319","Luxembourg","LUX","0_no_measures","missing",2020-01-01,2020-03-16
"320","Luxembourg","LUX","2_required_exceptions","1_general",2020-03-17,2020-04-19
"321","Luxembourg","LUX","1_recommended","1_general",2020-04-20,2020-05-31
"322","Macao","MAC","0_no_measures","missing",2020-01-01,2020-05-31
"323","Madagascar","MDG","0_no_measures","missing",2020-01-01,2020-03-22
"324","Madagascar","MDG","3_required","0_targeted",2020-03-23,2020-04-19
"325","Madagascar","MDG","1_recommended","1_general",2020-04-20,2020-05-11
"326","Madagascar","MDG","2_required_exceptions","0_targeted",2020-05-12,2020-05-31
"327","Malawi","MWI","0_no_measures","missing",2020-01-01,2020-04-17
"328","Malawi","MWI","1_recommended","1_general",2020-04-18,2020-05-31
"329","Malaysia","MYS","0_no_measures","missing",2020-01-01,2020-03-17
"330","Malaysia","MYS","1_recommended","1_general",2020-03-18,2020-05-31
"331","Mali","MLI","0_no_measures","missing",2020-01-01,2020-03-24
"332","Mali","MLI","1_recommended","1_general",2020-03-25,2020-05-09
"333","Mali","MLI","0_no_measures","missing",2020-05-10,2020-05-31
"334","Mauritania","MRT","0_no_measures","missing",2020-01-01,2020-03-18
"335","Mauritania","MRT","2_required_exceptions","1_general",2020-03-19,2020-05-31
"336","Mauritius","MUS","0_no_measures","missing",2020-01-01,2020-03-22
"337","Mauritius","MUS","2_required_exceptions","1_general",2020-03-23,2020-05-29
"338","Mauritius","MUS","0_no_measures","missing",2020-05-30,2020-05-31
"339","Mexico","MEX","0_no_measures","missing",2020-01-01,2020-03-29
"340","Mexico","MEX","2_required_exceptions","1_general",2020-03-30,2020-05-31
"341","Moldova","MDA","0_no_measures","missing",2020-01-01,2020-03-23
"342","Moldova","MDA","2_required_exceptions","1_general",2020-03-24,2020-05-15
"343","Moldova","MDA","1_recommended","1_general",2020-05-16,2020-05-31
"344","Mongolia","MNG","0_no_measures","missing",2020-01-01,2020-05-04
"345","Mongolia","MNG","3_required","0_targeted",2020-05-05,2020-05-07
"346","Mongolia","MNG","0_no_measures","missing",2020-05-08,2020-05-31
"347","Montserrat","MSR",NA,"missing",2020-01-01,2020-03-17
"348","Montserrat","MSR","2_required_exceptions","1_general",2020-03-18,2020-04-10
"349","Montserrat","MSR","3_required","1_general",2020-04-11,2020-04-19
"350","Montserrat","MSR","2_required_exceptions","1_general",2020-04-20,2020-04-22
"351","Montserrat","MSR","3_required","1_general",2020-04-23,2020-04-30
"352","Montserrat","MSR","2_required_exceptions","1_general",2020-05-01,2020-05-31
"353","Morocco","MAR","0_no_measures","missing",2020-01-01,2020-03-19
"354","Morocco","MAR","2_required_exceptions","1_general",2020-03-20,2020-05-31
"355","Mozambique","MOZ","0_no_measures","missing",2020-01-01,2020-03-31
"356","Mozambique","MOZ","1_recommended","1_general",2020-04-01,2020-05-31
"357","Myanmar","MMR","0_no_measures","missing",2020-01-01,2020-04-03
"358","Myanmar","MMR","1_recommended","1_general",2020-04-04,2020-04-13
"359","Myanmar","MMR","2_required_exceptions","0_targeted",2020-04-14,2020-05-31
"360","Namibia","NAM","0_no_measures","missing",2020-01-01,2020-03-26
"361","Namibia","NAM","2_required_exceptions","0_targeted",2020-03-27,2020-05-06
"362","Namibia","NAM","1_recommended","1_general",2020-05-07,2020-05-31
"363","Nepal","NPL","0_no_measures","missing",2020-01-01,2020-03-19
"364","Nepal","NPL","1_recommended","1_general",2020-03-20,2020-03-22
"365","Nepal","NPL","2_required_exceptions","0_targeted",2020-03-23,2020-03-23
"366","Nepal","NPL","2_required_exceptions","1_general",2020-03-24,2020-05-31
"367","Netherlands","NLD","0_no_measures","missing",2020-01-01,2020-03-05
"368","Netherlands","NLD","1_recommended","0_targeted",2020-03-06,2020-03-11
"369","Netherlands","NLD","1_recommended","1_general",2020-03-12,2020-03-22
"370","Netherlands","NLD","2_required_exceptions","1_general",2020-03-23,2020-05-10
"371","Netherlands","NLD","1_recommended","1_general",2020-05-11,2020-05-31
"372","New Zealand","NZL","0_no_measures","missing",2020-01-01,2020-03-20
"373","New Zealand","NZL","1_recommended","1_general",2020-03-21,2020-03-22
"374","New Zealand","NZL","2_required_exceptions","1_general",2020-03-23,2020-05-13
"375","New Zealand","NZL","0_no_measures","missing",2020-05-14,2020-05-31
"376","Nicaragua","NIC","0_no_measures","missing",2020-01-01,2020-05-31
"377","Niger","NER","0_no_measures","missing",2020-01-01,2020-05-31
"378","Nigeria","NGA","0_no_measures","missing",2020-01-01,2020-03-22
"379","Nigeria","NGA","1_recommended","0_targeted",2020-03-23,2020-03-28
"380","Nigeria","NGA","2_required_exceptions","0_targeted",2020-03-29,2020-05-03
"381","Nigeria","NGA","1_recommended","1_general",2020-05-04,2020-05-31
"382","Norway","NOR","0_no_measures","missing",2020-01-01,2020-05-31
"383","Oman","OMN","0_no_measures","missing",2020-01-01,2020-04-09
"384","Oman","OMN","2_required_exceptions","1_general",2020-04-10,2020-04-29
"385","Oman","OMN","2_required_exceptions","0_targeted",2020-04-30,2020-05-20
"386","Oman","OMN","1_recommended","1_general",2020-05-21,2020-05-31
"387","Pakistan","PAK","0_no_measures","missing",2020-01-01,2020-03-22
"388","Pakistan","PAK","2_required_exceptions","1_general",2020-03-23,2020-05-16
"389","Pakistan","PAK","2_required_exceptions","0_targeted",2020-05-17,2020-05-31
"390","Palestine","PSE","0_no_measures","missing",2020-01-01,2020-03-21
"391","Palestine","PSE","2_required_exceptions","1_general",2020-03-22,2020-05-25
"392","Palestine","PSE","2_required_exceptions","0_targeted",2020-05-26,2020-05-31
"393","Panama","PAN","0_no_measures","missing",2020-01-01,2020-03-16
"394","Panama","PAN","1_recommended","1_general",2020-03-17,2020-03-31
"395","Panama","PAN","2_required_exceptions","1_general",2020-04-01,2020-05-31
"396","Papua New Guinea","PNG","0_no_measures","missing",2020-01-01,2020-04-07
"397","Papua New Guinea","PNG","2_required_exceptions","0_targeted",2020-04-08,2020-04-26
"398","Papua New Guinea","PNG","1_recommended","0_targeted",2020-04-27,2020-05-31
"399","Paraguay","PRY","0_no_measures","missing",2020-01-01,2020-03-09
"400","Paraguay","PRY","1_recommended","1_general",2020-03-10,2020-03-16
"401","Paraguay","PRY","2_required_exceptions","1_general",2020-03-17,2020-04-08
"402","Paraguay","PRY","3_required","1_general",2020-04-09,2020-05-24
"403","Paraguay","PRY","2_required_exceptions","1_general",2020-05-25,2020-05-31
"404","Peru","PER","0_no_measures","missing",2020-01-01,2020-03-14
"405","Peru","PER","2_required_exceptions","1_general",2020-03-15,2020-03-17
"406","Peru","PER","3_required","1_general",2020-03-18,2020-05-10
"407","Peru","PER","2_required_exceptions","1_general",2020-05-11,2020-05-31
"408","Philippines","PHL","0_no_measures","missing",2020-01-01,2020-03-14
"409","Philippines","PHL","2_required_exceptions","0_targeted",2020-03-15,2020-03-17
"410","Philippines","PHL","3_required","1_general",2020-03-18,2020-04-30
"411","Philippines","PHL","2_required_exceptions","1_general",2020-05-01,2020-05-28
"412","Philippines","PHL","1_recommended","1_general",2020-05-29,2020-05-31
"413","Pitcairn Islands","PCN",NA,"missing",2020-01-01,2020-05-31
"414","Poland","POL","0_no_measures","missing",2020-01-01,2020-03-30
"415","Poland","POL","2_required_exceptions","1_general",2020-03-31,2020-04-08
"416","Poland","POL","1_recommended","1_general",2020-04-09,2020-05-29
"417","Poland","POL","0_no_measures","missing",2020-05-30,2020-05-31
"418","Portugal","PRT","0_no_measures","missing",2020-01-01,2020-03-18
"419","Portugal","PRT","2_required_exceptions","1_general",2020-03-19,2020-05-03
"420","Portugal","PRT","1_recommended","1_general",2020-05-04,2020-05-31
"421","Puerto Rico","PRI","0_no_measures","missing",2020-01-01,2020-03-14
"422","Puerto Rico","PRI","2_required_exceptions","1_general",2020-03-15,2020-05-31
"423","Qatar","QAT","0_no_measures","missing",2020-01-01,2020-03-16
"424","Qatar","QAT","1_recommended","1_general",2020-03-17,2020-05-31
"425","Romania","ROU","0_no_measures","missing",2020-01-01,2020-03-11
"426","Romania","ROU","1_recommended","1_general",2020-03-12,2020-03-24
"427","Romania","ROU","2_required_exceptions","1_general",2020-03-25,2020-05-14
"428","Romania","ROU","1_recommended","1_general",2020-05-15,2020-05-31
"429","Russia","RUS","0_no_measures","missing",2020-01-01,2020-03-04
"430","Russia","RUS","2_required_exceptions","0_targeted",2020-03-05,2020-03-18
"431","Russia","RUS","2_required_exceptions","1_general",2020-03-19,2020-03-29
"432","Russia","RUS","3_required","0_targeted",2020-03-30,2020-05-31
"433","Rwanda","RWA","0_no_measures","missing",2020-01-01,2020-03-20
"434","Rwanda","RWA","2_required_exceptions","1_general",2020-03-21,2020-05-03
