province_region,area_covered_cln3,province_match,response_level_cln2,date_start_cln,date_end_cln,policies_Domestic travel,policies_Gatherings,policies_Individual,policies_International travel,"policies_Offi, busi, inst",policies_School,policies_Special populations,policies_Surveillance,policies_NA,policies_required_Domestic travel,policies_required_Gatherings,policies_required_Individual,policies_required_International travel,"policies_required_Offi, busi, inst",policies_required_School,policies_required_Special populations,policies_required_Surveillance,policies_required_NA,abs_days_from_start_Domestic travel,abs_days_from_start_Gatherings,abs_days_from_start_Individual,abs_days_from_start_International travel,"abs_days_from_start_Offi, busi, inst",abs_days_from_start_School,abs_days_from_start_Special populations,abs_days_from_start_Surveillance,abs_days_from_start_NA,abs_days_from_end_Domestic travel,abs_days_from_end_Gatherings,abs_days_from_end_Individual,abs_days_from_end_International travel,"abs_days_from_end_Offi, busi, inst",abs_days_from_end_School,abs_days_from_end_Special populations,abs_days_from_end_Surveillance,abs_days_from_end_NA
Beijing,Shulan,FALSE,Level II,2020-04-30,2020-06-05,6,2,0,0,1,2,0,0,0,5,2,0,0,1,1,0,0,0,16.833333333333332,10,0,0,10,22,0,0,0,19.166666666666668,26,0,0,26,14,0,0,0
Beijing,Jilin city,FALSE,Level II,2020-04-30,2020-06-05,2,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,13.5,0,0,0,0,13,0,31,0,22.5,0,0,0,0,23,0,5,0
Beijing,Hong Kong,FALSE,Level III,2020-06-06,2020-06-15,0,2,0,7,10,3,0,1,0,0,2,0,0,1,0,0,0,0,0,8.5,0,4.857142857142857,10.8,6.666666666666667,0,4,0,0,8.5,0,8.142857142857142,6.8,2.3333333333333335,0,13,0
Beijing,Jilin city,FALSE,Level III,2020-06-06,2020-06-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0
Beijing,Beijing,TRUE,Level III,2020-06-06,2020-06-15,9,0,1,2,4,5,0,2,0,7,0,1,1,4,1,0,2,0,8.88888888888889,0,6,5.5,6.75,5.4,0,13,0,2.7777777777777777,0,3,5.5,2.25,8,0,4,0
Beijing,Macao,FALSE,Level III,2020-06-06,2020-06-15,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,7.5,0,0,0,0,0,0,2,0,7.5,0,0,0
Beijing,Shulan,FALSE,Level III,2020-06-06,2020-06-15,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,12,0,0,0,0,12,0,0,0
Beijing,China,FALSE,Level III,2020-06-06,2020-06-15,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,9,0,0,0,6,0
Beijing,Taiwan,FALSE,Level III,2020-06-06,2020-06-15,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,0,0,8,8,4,0,0,0,0,0
Beijing,China,FALSE,Level II,2020-06-16,2020-07-19,0,1,0,2,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,23,0,25,23.4,0,0,7,0,0,10,0,8,10,0,0,40,0
Beijing,Hong Kong,FALSE,Level II,2020-06-16,2020-07-19,2,5,3,5,21,4,0,2,0,0,3,2,0,11,2,0,0,0,30.5,22.2,27,18.6,19.523809523809526,14.5,0,30.5,0,5.5,12,8.666666666666666,17.2,15.095238095238095,19.5,0,9.5,0
Beijing,Beijing,TRUE,Level II,2020-06-16,2020-07-19,12,0,2,1,5,2,0,3,0,7,0,2,0,4,1,0,3,0,6,0,8,1,9.6,1.5,0,7.666666666666667,0,28,0,29,32,29.4,34.5,0,25.333333333333332,0
Beijing,Taiwan,FALSE,Level II,2020-06-16,2020-07-19,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.777777777777779,0,0,0,22,0,0,0,0,19.666666666666668,0,0,0,11,0
Beijing,Macao,FALSE,Level II,2020-06-16,2020-07-19,0,0,0,2,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,10.333333333333334,0,29,0,0,0,0,17,0,22.666666666666668,0,4,0
Beijing,Anxin county,FALSE,Level II,2020-06-16,2020-07-19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Beijing,Shenzhen,FALSE,Level II,2020-06-16,2020-07-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0
