province,city_level,place,place_cln,date_start,date_end,sah_standard,et_manual
Hubei,prefecture,Wuhan,Wuhan,2020-01-23,NA,complete shutdown,TRUE
Hubei,district,Wuhan,Wuhan,2020-01-23,2020-04-08,complete shutdown,TRUE
Hubei,prefecture,Xiangyang,Xiangyang,2020-01-28,NA,complete shutdown,TRUE
Hubei,prefecture,Xiangyang,Xiangyang,2020-01-28,2020-03-25,complete shutdown,TRUE
Hubei,prefecture,Xianning,Xianning,2020-01-24,NA,complete shutdown,TRUE
Hubei,prefecture,Xianning,Xianning,2020-01-24,2020-03-25,complete shutdown,TRUE
Hubei,prefecture,Xiantao,Xiantao,2020-01-24,NA,complete shutdown,TRUE
Hubei,district,Xiantao,Xiantao,2020-01-24,2020-03-25,complete shutdown,TRUE
Hubei,prefecture,Xiaogan,Xiaogan,2020-01-24,NA,complete shutdown,TRUE
Hubei,prefecture,Xiaogan,Xiaogan,2020-01-24,2020-03-25,complete shutdown,TRUE
Hubei,prefecture,Yichang,Yichang,2020-01-24,NA,complete shutdown,TRUE
Hubei,prefecture,Yichang,Yichang,2020-01-24,2020-03-25,complete shutdown,TRUE
Hubei,province,NA,NA,2020-02-16,2020-04-08,partial shutdown,TRUE
Hubei,province,NA,NA,2020-02-07,NA,closed management,TRUE
Jiangsu,district,Buning,Buning,2020-02-05,NA,closed management,TRUE
Jiangsu,prefecture,Changzhou,Changzhou,2020-02-04,NA,closed management,TRUE
Jiangsu,district,"Hailing, Taizhou","Hailing, Taizhou",2020-02-05,NA,partial shutdown,TRUE
Jiangsu,prefecture,Huai'an,Huaian,2020-02-03,NA,closed management,TRUE
Jiangsu,prefecture,Huaian,Huaian,2020-02-03,NA,closed management,TRUE
Jiangsu,district,Jiangyan,Jiangyan,2020-02-04,NA,closed management,TRUE
Jiangsu,district,Jiangyin,Jiangyin,2020-02-03,NA,closed management,TRUE
Jiangsu,prefecture,Lianyungang,Lianyungang,2020-02-07,NA,closed management,TRUE
Jiangsu,prefecture,Nanjing,Nanjing,2020-02-04,NA,closed management,TRUE
Jiangsu,prefecture,Nantong,Nantong,2020-02-04,NA,closed management,TRUE
Jiangsu,prefecture,Suqian,Suqian,2020-02-05,NA,closed management,TRUE
Jiangsu,prefecture,Suzhou,Suzhou,2020-02-06,NA,closed management,TRUE
Jiangsu,prefecture,Taizhou,Taizhou,2020-02-05,NA,closed management,TRUE
Jiangsu,prefecture,Wuxi,Wuxi,2020-02-09,NA,closed management,TRUE
Jiangsu,prefecture,Xuzhou,Xuzhou,2020-02-04,NA,closed management,TRUE
