policy_id,province_region,response_level,date_announce,date_start,source type,link,policy_facemask,policy_business,policy_institution,policy_office,policy_school,created_by,verified_by,verification_action,verification_notes
X44,Shanxi????,Level III,2/27/2020,2/28/2020,News source,https://www.sohu.com/a/376311632_100185418,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,delete,duplicate
P21,Sichuan,Level I,1/24/2020,1/24/2020,Government announcement,http://www.sc.gov.cn/10462/c102250/2020/1/24/fbf907d83f1c42f8a9cb5225ab0af5b3.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P22,Sichuan,Level II,2/25/2020,2/25/2020,Government announcement,http://www.sc.gov.cn/10462/10464/10727/10866/2020/2/25/1b3d9ff5ed3844349c7fdc1bc1a0edcf.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P23,Sichuan,Level III,3/24/2020,3/24/2020,Government announcement,http://www.sc.gov.cn/10462/10464/10684/12419/2020/3/24/332fac743caa4854a76f33c31c33fb69.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
X23,Tianjin,Level I,1/25/2020,1/25/2020,News source,https://baijiahao.baidu.com/s?id=1656668166448315942&wfr=spider&for=pc,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,Xinyi,Puxi,,
X24,Tianjin,Level II,4/29/2020,4/30/2020,News source,https://www.sohu.com/a/392097569_803941,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,L1 - Hygiene,Xinyi,Puxi,,
X25,Tianjin,Level III,6/5/2020,6/6/2020,News source,https://baijiahao.baidu.com/s?id=1668783013478605957&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X45,Xinjiang,Level I,1/25/2020,1/25/2020,News source,http://news.sina.com.cn/c/2020-01-25/doc-iihnzahk6244183.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X46,Xinjiang,Level II,2/26/2020,2/26/2020,News source,http://www.gov.cn/xinwen/2020-02/26/content_5483510.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X47,Xinjiang,Level III,3/7/2020,3/7/2020,News source,https://baijiahao.baidu.com/s?id=1660517624750045909&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X48,Xinjiang,Level IV,3/21/2020,3/22/2020,News source,http://china.caixin.com/2020-03-22/101532199.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
P40,Xizang,Level I,1/30/2020,1/30/2020,Government announcement,http://www.xizang.gov.cn/zwgk/xxfb/gsgg_428/202001/t20200130_131215.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P41,Xizang,Level II - var,3/6/2020,3/6/2020,Government announcement,https://china.huanqiu.com/article/9CaKrnKpLmO,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,Some areas are managed according to level III response management
P35,Yunnan,Level I,1/24/2020,1/24/2020,Government announcement,http://www.yn.gov.cn/ywdt/bmdt/202001/t20200125_187456.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
P36,Yunnan,Level III,2/23/2020,2/24/2020,Government announcement,http://www.dali.gov.cn/dlrmzf/c101599/202002/c1efb9e26603460e924c9d87894ce909.shtml,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Puxi,Xinyi,,
X31,Zhengjiang,Level I,1/23/2020,1/23/2020,News source,http://zj.people.com.cn/n2/2020/0123/c186327-33741836.html,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X32,Zhengjiang,Level II,3/2/2020,3/2/2020,Government announcement,http://www.gov.cn/xinwen/2020-03/02/content_5485699.htm,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
X33,Zhengjiang,Level III,3/23/2020,3/23/2020,News source,https://baijiahao.baidu.com/s?id=1661948219846347642&wfr=spider&for=pc,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,L0 - no announcement,Xinyi,Puxi,,
